                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1655,                 3.6589,                 1.3638,                0.59726,                0.61719,                0.54237,                0.33605,                 1.1845,                 6.1622,                 1.5663,                0.00056,                0.00056,                0.00056
                      2,                 1.0005,                 1.4834,                 1.2386,                 0.5177,                0.61719,                0.56257,                0.29196,                 1.3768,                 6.5855,                 1.7408,              0.0011024,              0.0011024,              0.0011024
                      3,                 1.0823,                 1.2798,                 1.2661,                 0.0406,                0.47656,                0.03588,                 0.0128,                 1.9647,                 34.939,                 3.1271,              0.0016065,              0.0016065,              0.0016065
                      4,                 1.2006,                 1.3531,                 1.3773,                0.07261,                0.63281,                0.06312,                0.03887,                 1.3607,                 36.173,                 1.6413,               0.001802,               0.001802,               0.001802
                      5,                 1.1039,                 1.1358,                 1.3085,                0.48362,                   0.25,                 0.2847,                0.17045,                 1.7088,                 2.7213,                 2.0845,               0.001802,               0.001802,               0.001802
                      6,                 1.0696,                 1.1159,                 1.2774,                0.33823,                0.33941,                0.25676,                0.10888,                  2.183,                 2.5844,                 2.4314,               0.001736,               0.001736,               0.001736
                      7,                 1.0607,                 1.0537,                 1.2405,                0.63085,                0.70312,                0.67674,                0.41258,                 1.3308,                 1.4082,                  1.493,                0.00167,                0.00167,                0.00167
                      8,                 1.0156,                 1.0055,                  1.219,                0.61781,                0.54307,                0.56678,                0.34922,                 1.4874,                 1.6441,                 1.6581,               0.001604,               0.001604,               0.001604
                      9,                0.98119,                0.96166,                 1.2046,                0.65494,                0.62282,                0.63864,                0.45344,                 1.0776,                 1.3379,                 1.4122,               0.001538,               0.001538,               0.001538
                     10,                0.96789,                0.89211,                 1.2121,                0.71452,                0.75781,                0.78251,                0.54273,                 1.0913,                 1.2315,                 1.3113,               0.0 01472,               0.001472,               0.001472
                     11,                0.94736,                0.92715,                 1.2062,                0.82799,                0.78976,                0.80992,                0.59707,                0.95813,                 0.9586,                 1.2278,               0.001406,               0.001406,               0.001406
                     12,                0.97754,                0.91824,                 1.1934,                0.79688,                 0.6743,                0.77366,                0.54802,                 1.1365,                  1.297,                 1.3479,                0.00134,                0.00134,                0.00134
                     13,                0.92664,                0.85789,                 1.1868,                0.72889,                0.71875,                 0.7748,                 0.5533,                 1.1103,                 1.2552,                 1.3707,               0.001274,               0.001274,               0.001274
                     14,                 0.8967,                0.80643,                 1.1567,                0.79066,                0.88525,                0.89891,                0.71326,                0.84743,                 0.7731,                 1.1654,               0.001208,               0.001208,               0.001208
                     15,                0.90448,                0.82832,                 1.1637,                0.85577,                0.83594,                0.90008,                0.70476,                0.86731,                0.75136,                 1.1645,               0.001142,               0.001142,               0.001142
                     16,                0.92796,                0.83307,                 1.1984,                0.82049,                0.57135,                0.70282,                0.50461,                 1.0603,                 1.2379,                 1.2971,               0.001076,               0.001076,               0.001076
                     17,                0.86834,                0.79436,                  1.161,                0.94698,                0.89844,                0.93434,                0.73578,                0.85546,                0.69536,                 1.1651,                0.00101,                0.00101,                0.00101
                     18,                0.82043,                0.74414,                 1.1243,                0.85719,                0.93789,                0.94351,                0.75089,                0.79986,                0.66696,                 1.1129,               0.000944,               0.000944,               0.000944
                     19,                0.81326,                0.70975,                 1.1078,                0.89218,                0.90502,                 0.9414,                  0.762,                0.81225,                0.62954,                 1.1393,               0.000878,               0.000878,               0.000878
                     20,                0.83515,                0.74139,                 1.1255,                0.89932,                0.90716,                0.94289,                0.73201,                0.83243,                0.67377,                 1.1174,               0.000812,               0.000812,               0.000812
                     21,                0.76426,                0.65121,                 1.1119,                0.97411,                 0.8819,                0.95792,                0.76468,                  0.753,                0.59444,                 1.0891,               0.000746,               0.000746,               0.000746
                     22,                0.73407,                0.57192,                 1.0819,                0.83997,                0.84375,                 0.8956,                0.71146,                 0.7653,                0.72177,                 1.1083,                0.00068,                0.00068,                0.00068
                     23,                0.72247,                0.56212,                 1.0671,                0.91962,                  0.875,                0.94334,                0.75461,                0.77392,                0.65209,                 1.1226,               0.000614,               0.000614,               0.000614
                     24,                0.70143,                0.52787,                 1.0725,                0.93342,                0.92188,                0.94332,                0.74378,                0.76638,                0.62309,                 1.1077,               0.000548,               0.000548,               0.000548
                     25,                0.67869,                0.53625,                 1.0521,                0.93154,                0.95676,                  0.961,                0.77865,                0.69284,                0.53402,                  1.047,               0.000482,               0.000482,               0.000482
                     26,                0.66844,                 0.5051,                 1.0374,                0.88927,                0.96094,                0.95903,                0.78553,                0.69432,                0.52067,                 1.0577,               0.000416,               0.000416,               0.000416
                     27,                  0.665,                0.45724,                 1.0325,                0.95482,                0.92188,                0.96452,                0.78307,                0.73935,                0.51197,                 1.0721,                0.00035,                0.00035,                0.00035
                     28,                0.64574,                0.45375,                 1.0244,                0.90176,                0.93231,                 0.9524,                0.78212,                0.68971,                0.54126,                 1.0453,               0.000284,               0.000284,               0.000284
                     29,                0.62883,                0.44774,                 1.0167,                0.92817,                0.91406,                 0.9587,                0.78629,                0.69056,                0.52069,                 1.0454,               0.000218,               0.000218,               0.000218
                     30,                0.61264,                0.43299,                  1.012,                0.94954,                0.94531,                0.97226,                0.80146,                0.66833,                0.47036,                 1.0291,               0.000152,               0.000152,               0.000152
